timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,krkn_vwmp (lower)
2021-02-24 11:35:00,0.01,50679.7,50734.5,50617.9,50638.6,16.57,839502.36456315,50665.94,28.38,50633.5
2021-02-24 11:40:00,0.01,50629.4,50644.0,50376.0,50376.0,22.63,1142937.906077392,50494.72,87.45,50500.0
2021-02-24 11:45:00,0.01,50426.6,50490.4,50317.9,50392.0,18.76,945232.1754158,50398.22,42.11,50444.0
2021-02-24 11:50:00,0.01,50394.4,50418.1,50242.4,50329.4,11.27,566948.010440342,50320.37,37.45,50315.5
2021-02-24 11:55:00,0.01,50342.5,50393.3,50329.6,50392.1,3.35,168593.193817742,50374.04,16.32,50391.5
2021-02-24 12:00:00,0.01,50392.1,50635.3,50372.9,50599.5,20.92,1055581.242964544,50464.74,82.9,50392.1
2021-02-24 12:05:00,0.01,50599.4,50767.5,50514.2,50525.0,23.54,1192197.883417832,50655.73,71.44,50738.2
2021-02-24 12:10:00,0.01,50537.1,50829.5,50421.5,50829.5,16.02,811355.310314735,50632.97,142.44,50434.4
2021-02-24 12:15:00,0.01,50820.0,50939.5,50757.5,50772.5,26.96,1370543.495990934,50832.52,52.65,50937.7
2021-02-24 12:20:00,0.01,50770.2,51158.1,50770.2,51115.9,31.73,1616753.299398562,50955.45,119.7,50883.8
2021-02-24 12:25:00,0.01,51138.6,51174.9,50968.0,51132.5,22.54,1151495.872209363,51089.21,41.09,51074.9
2021-02-24 12:30:00,0.01,51138.9,51250.0,51021.1,51249.9,16.17,826722.848042914,51142.39,54.76,51026.5
2021-02-24 12:35:00,0.01,51250.0,51283.3,51091.4,51203.0,8.73,447124.732041094,51192.83,52.06,51133.6
2021-02-24 12:40:00,0.01,51190.1,51190.1,50923.7,50931.0,6.69,341587.807926441,51031.16,82.53,50975.8
2021-02-24 12:45:00,0.01,50929.2,51076.5,50923.1,51063.9,7.22,368140.197757429,50980.26,49.46,50939.7
2021-02-24 12:50:00,0.01,51048.8,51048.9,50839.5,50867.1,25.01,1274163.369154734,50946.0,65.92,50940.2
2021-02-24 12:55:00,0.01,50873.8,50887.6,50676.4,50746.3,17.3,878525.52154861,50775.37,53.0,50751.9
2021-02-24 13:00:00,0.01,50760.0,51099.4,50760.0,50961.1,15.56,792765.71228592,50934.86,95.07,51052.6
2021-02-24 13:05:00,0.02,50970.7,50970.7,50507.7,50585.9,32.94,1667471.5251798749,50619.54,99.53,50615.5
2021-02-24 13:10:00,0.01,50573.2,50729.9,50405.3,50480.4,21.02,1062564.921942506,50547.36,64.1,50450.0
2021-02-24 13:15:00,0.06,50469.8,50469.8,49568.7,49585.7,137.55,6865048.449824641,49908.44,185.55,49662.3
2021-02-24 13:20:00,0.03,49589.8,49994.8,49504.5,49781.5,78.53,3905071.877192752,49729.71,136.78,49789.2
2021-02-24 13:25:00,0.01,49852.9,49990.7,49561.9,49609.0,32.39,1613867.313888326,49823.8,112.91,49900.0
2021-02-24 13:30:00,0.05,49646.1,49797.3,49100.0,49172.3,115.92,5717546.738021464,49323.96,166.86,49371.4
2021-02-24 13:35:00,0.02,49152.9,49560.5,49152.9,49299.8,34.14,1684895.33765008,49354.16,100.96,49499.9
2021-02-24 13:40:00,0.01,49291.8,49500.0,49291.8,49484.7,35.39,1750946.075173854,49470.02,52.97,49499.3
2021-02-24 13:45:00,0.02,49492.4,49889.5,49348.8,49759.0,44.19,2193055.497225964,49630.56,171.49,49354.6
2021-02-24 13:50:00,0.01,49755.9,49784.7,49534.7,49666.0,15.13,751454.755707304,49666.87,72.05,49549.6
2021-02-24 13:55:00,0.01,49637.8,49637.9,49352.2,49480.2,37.3,1844279.732472016,49450.58,62.51,49461.4
2021-02-24 14:00:00,0.01,49480.2,49795.3,49480.2,49779.3,8.67,430878.218967187,49714.9,62.57,49633.2
2021-02-24 14:05:00,0.01,49775.0,49780.3,49323.1,49344.9,22.06,1092829.433000705,49539.47,142.87,49640.1
2021-02-24 14:10:00,0.02,49345.0,49471.0,49162.8,49439.1,31.65,1560295.004848786,49298.01,68.7,49222.1
2021-02-24 14:15:00,0.01,49446.5,49677.5,49342.0,49660.4,13.58,672329.234425181,49503.55,100.77,49501.2
2021-02-24 14:20:00,0.01,49651.0,49651.0,49448.6,49448.6,24.06,1191704.964140673,49537.21,50.85,49566.7
2021-02-24 14:25:00,0.01,49448.6,49546.8,49362.8,49533.6,13.14,650090.963148796,49471.87,45.26,49472.7
2021-02-24 14:30:00,0.01,49533.6,49665.4,49400.0,49415.7,24.21,1199031.560237138,49526.6,73.81,49420.1
2021-02-24 14:35:00,0.02,49408.9,49420.9,49140.6,49342.1,54.7,2696139.994474186,49285.96,76.8,49158.7
2021-02-24 14:40:00,0.04,49342.1,49389.1,48691.6,48815.4,145.99,7150071.45830616,48974.99,157.87,49132.2
2021-02-24 14:45:00,0.02,48815.3,49258.8,48773.4,49170.5,56.59,2774933.819711446,49039.35,122.97,48815.4
2021-02-24 14:50:00,0.01,49172.1,49172.1,48951.6,49063.6,33.29,1633156.4744941099,49055.44,61.95,49132.6
2021-02-24 14:55:00,0.02,49068.6,49468.8,49053.5,49434.3,112.32,5541940.944165862,49340.28,116.67,49056.4
2021-02-24 15:00:00,0.02,49433.2,49660.0,49407.6,49522.0,29.02,1438653.7246812151,49569.38,65.74,49500.0
2021-02-24 15:05:00,0.01,49519.8,49522.2,49123.7,49195.3,44.64,2198949.475963265,49258.68,122.05,49221.1
2021-02-24 15:10:00,0.01,49192.9,49192.9,48900.1,48935.8,26.83,1315703.872871912,49030.42,64.46,48989.4
2021-02-24 15:15:00,0.01,48904.1,49126.0,48711.7,48773.7,33.86,1655857.464763615,48900.36,91.52,48826.1
2021-02-24 15:20:00,0.03,48741.4,48896.9,48500.1,48856.1,59.61,2899052.819242737,48633.44,73.2,48741.4
2021-02-24 15:25:00,0.02,48797.7,49199.5,48797.7,49174.9,53.72,2635712.046856241,49061.13,100.58,49111.8
2021-02-24 15:30:00,0.01,49174.9,49373.3,49018.2,49350.0,24.67,1214331.9351438421,49218.07,96.59,49097.5
2021-02-24 15:35:00,0.02,49315.5,49593.8,49301.4,49441.7,25.66,1270379.643344153,49508.23,64.16,49579.6
2021-02-24 15:40:00,0.02,49441.7,49441.8,49179.6,49290.2,41.36,2040436.0942482,49331.82,60.15,49329.0
2021-02-24 15:45:00,0.02,49257.4,49739.9,49257.4,49500.0,30.44,1507302.764351026,49523.19,102.98,49486.4
2021-02-24 15:50:00,0.01,49506.7,49656.5,49506.7,49598.1,34.15,1693455.841708564,49591.99,28.1,49644.3
2021-02-24 15:55:00,0.01,49598.2,49916.8,49577.8,49850.0,20.79,1036191.72560468,49830.73,80.86,49833.2
2021-02-24 16:00:00,0.03,49851.6,50171.2,49808.2,49948.6,50.44,2523261.272009267,50028.96,91.75,49868.0
2021-02-24 16:05:00,0.01,49919.0,49998.7,49783.4,49887.7,26.95,1343817.042306092,49859.3,70.16,49821.0
