timestamp,stmp_vwmp (upper),lmax_vwmp (upper),gmni_vwmp (upper),itbi_vwmp (upper),okcn_vwmp (upper),bfnx_vwmp (upper),btrx_vwmp (upper),bfly_vwmp (upper),bnus_vwmp (upper),cbse_vwmp (upper),krkn_vwmp (upper),all_vwmp (upper)
2021-02-24 09:30:00,50825.05,50834.0,50853.7,50840.0,50939.62,50724.0,50995.69,50907.35,50890.63,50829.69,50914.0,50724.0
2021-02-24 09:35:00,51047.18,51264.0,51200.0,50940.0,50819.94,50744.0,51066.61,50846.85,51051.0,51025.8,51005.0,51150.0
2021-02-24 09:40:00,51143.66,51248.5,51280.0,51200.0,51172.83,51300.0,51279.96,,51222.27,51412.16,51423.0,51232.9
2021-02-24 09:45:00,51110.24,51159.0,51262.86,51200.25,51151.89,51009.0,51237.74,,51118.1,51127.3,51166.1,51166.1
2021-02-24 09:50:00,50963.48,50956.25,50933.54,50940.25,50980.29,50882.0,51008.19,,50914.08,50904.4,51003.9,51003.9
2021-02-24 09:55:00,50900.98,50896.5,50899.7,50918.0,50909.89,50796.0,50968.27,,50920.79,50906.27,50899.9,50899.9
2021-02-24 10:00:00,50911.14,50939.96,51006.14,50980.0,50921.03,50846.0,50962.64,,50909.38,50973.83,50938.4,50938.4
2021-02-24 10:05:00,50927.78,50921.0,50801.46,51030.75,50906.61,50802.0,50856.77,,50843.72,50924.54,50932.5,50932.5
2021-02-24 10:10:00,50914.36,50980.0,50700.0,50794.0,50945.54,50674.67,50946.63,,50627.69,50629.57,50667.5,50667.5
2021-02-24 10:15:00,50512.83,50482.0,50529.75,50614.0,50630.48,50447.0,50492.04,,50494.55,50554.23,50630.7,50630.7
2021-02-24 10:20:00,50666.32,50586.0,50262.43,50607.75,50617.67,50512.0,50285.81,,50557.56,50537.1,50610.2,50610.2
2021-02-24 10:25:00,50177.01,50198.5,50457.26,50497.0,50407.05,50350.0,50237.33,,50262.43,50286.31,50251.0,50251.0
